time,CON_VAL_MO,tariff
2023-03-01,222112156950.0,2.5024734432934426
2023-04-01,207540328135.0,2.802347955823232
2023-05-01,219266628643.0,2.810022725816513
2023-06-01,219538973040.0,2.7163366856569313
2023-07-01,217084490730.0,2.833232867680874
2023-08-01,224260081571.0,2.782642103884335
2023-09-01,220212621783.0,2.727578032252322
2023-10-01,234170996288.0,2.6024176087567383
2023-11-01,216914719407.0,2.5236142604637584
2023-12-01,209826416092.0,2.7004104981308084
2024-01-01,217433452448.0,2.8566258338217048
2024-02-01,208693451547.0,2.778964518057188
2024-03-01,223251473161.0,2.5148405170661996
2024-04-01,231239664444.0,2.4694365262681326
2024-05-01,233020399297.0,2.58861083973675
2024-06-01,226461062104.0,2.665093117521591
2024-07-01,242756207014.0,2.8681711737234616
2024-08-01,239806324592.0,2.835982622464528
